strain	date	country	state
BRBV/KU708253.2/KS/2014	2014-XX-XX	USA	USA/Kansas
BRBV/KY825740.1/MO/2013	2013-03-XX	USA	USA/Missouri
BRBV/KY825741.1/MO/2013	2013-03-XX	USA	USA/Missouri
BRBV/MH880287.1/MO/2013	2013-03-XX	USA	USA/Missouri
BRBV/MK453529.1/MO/2017	2017-06-01	USA	USA/Missouri
BRBV/OL989462.1/MO/2015	2015-09-16	USA	USA/Missouri
BRBV/ON153184.1/VA/2021	2021-05-26	USA	USA/Virginia
BRBV/ON153185.1/VA/2021	2021-05-12	USA	USA/Virginia
BRBV/ON153186.1/VA/2021	2021-08-03	USA	USA/Virginia
BRBV/ON153187.1/VA/2021	2021-06-24	USA	USA/Virginia
DHRV/NC_034261.1/IND/1961	1961-XX-XX	IND	
